text,label
원클릭문의시설공급  상세증상  해당 건물에 왔을 때부터 자택에서 통화 이용 어려움   다른 동일망 불량여부  동일증상  품질 및 감도내부  불량  품질 및 감도외부  양호   상담원 조치 사항    추가연락처  특이전달사항고객성향기타 ,발수신불가
 자녀폰이 인식이 안 된다고 나온다고 함 카드 교체해도 동일하다고 함   전파 문제로 발생하는 부분은 아님을 설명드리고 교체해도 동일시 기기 점검 필요할 수 있음을 안내하고 종료,통품상담성
인증문자 수신실패  생명      수신내역 정상    수신 설정해제 되어 잇음  재설정  셀룰러    이후 인증문자 온다고함 종료,기업형메시지(금융권인증SMS)
인증문자 수신실패 수신내역 정상 스팸설정해제안내,기업형메시지(금융권인증SMS)
 전화 녹음 불가   자동녹음 아님   발생시기는 잘모르며 이전에 노트 사용할때는 정상 이용 되었다고 함    전화 버전    일반 제조사 모드에서는 정상,T제공 어플
 양주시 서울우유 공사현장이라고하심  예전에 연락했을때  건물내 장비 개통예정이라고 들었다며 개통된게 맞는지 문의  이전 이력 확인시   개통예정으로 확인됨 넉넉히 지난주까지 개통예정으로 안내된 상황  여전히 품질 불량하고 전혀 개선된바없다고하시어 확인 후 재연락드리기로함,통품상담성
 원클릭양호처리중    오래전부터사무실 통화끊김 기변후 동일 타폰 동일 장비무   층에만 장비확인되어 확인후 연락드림안내,호단절
원클릭양호시설공급   상세증상  해당 신축 건물에 온 이후로 건물 전체적으로 통화품질 불량 음질 불량 및 데이터 느림 지하 층지상 층 정도 규모    타폰 비교     내부 품질  불량   외부 품질  잘 모름   상담원 조치 사항  진단 양호   추가연락처  미확인   특이전달사항고객성향기타  해당 지역 이상 유무 및 동일 문의 여부 개선 방법 확인 부탁드립니다,음질불량
오늘 갑자기 해당기기만 콜키퍼 문자 수신 설정 안되어있는거로 확인되어 설정안내후 종료,단문메세지(SMS)
 데이터 접속실패  통화정상     데이터   한도  이후정상 종료,초기접속불가
 번호로 시작되는 인증문자수신실패  수신내역  번호 재확인필요함,기업형메시지(금융권인증SMS)
페이스타임 불가 문의주심  요금제 문제 없음 안내  다른 인터넷 정상  어플사 문의필요 종료,기타 Application
